Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
Modernisation Fund,European Union,2021,In force,International,https://www.iea.org/policies/12803-modernisation-fund,,,,,https://ec.europa.eu/clima/policies/budget/modernisation-fund_en,"The Modernisation Fund is a dedicated funding programme to support 10 lower-income EU Member States in their transition to climate neutrality by helping to modernise their energy systems and improve energy efficiency.The beneficiary Member States are Bulgaria, Croatia, Czechia, Estonia, Hungary, Latvia, Lithuania, Poland, Romania and Slovakia.The Modernisation Fund will support investments in: generation and use of energy from renewable sources, energy efficiency, energy storage, modernisation of energy networks, including district heating, pipelines and grids; Just transition in carbon-dependent regions, redeployment, reskilling and upskilling of workers, education, job-seeking initiatives and start-ups.The Modernisation Fund is recognised in the European Green Deal Investment Plan as one of the key funding instruments contributing to the objectives of the European Green Deal.The Fund will be based on revenues from the auctioning of 2% of the total allowances for 2021-30 under the EU ETS and additional allowances transferred to the Modernisation Fund by beneficiary Member States.As of June 2022, the Fund is making EUR 2.4 billion available to help modernise energy systems, reduce GHG emissions in energy, industry and transport, and support the 2030 climate and energy targets of 7 beneficiary countries:More precisely, the Modernisation Fund is supporting 45 investment proposals in the areas of:These investments conclude the third investment cycle of the Modernisation Fund.",IEA
Modernisation Fund - Poland,Poland,2021,In force,National,https://www.iea.org/policies/14361-modernisation-fund-poland,Economy-wide,Master Energy Plan,,,https://ec.europa.eu/clima/news-your-voice/news/modernisation-fund-first-eur-304-million-support-climate-neutrality-3_en,"The Modernisation Fund is a dedicated funding programme to support 10 lower-income EU Member States in their transition to climate neutrality by helping to modernise their energy systems and improve energy efficiency. For Poland, the function of the National Operator of the Modernization Fund is performed by the National Fund for Environmental Protection and Water Management.",IEA
Modernisation fund - Decarbonization of industry I,Slovak Republic,2021,Announced,National,https://www.iea.org/policies/27197-modernisation-fund-decarbonization-of-industry-i,Industry,Government spending for energy efficiency and recycling,,,https://www.minzp.sk/klima/modernizacny-fond/,"State aid scheme for the decarbonisation of industry (The estimated total amount is EUR 750 000 000 for the period 2022-2030), which aims to support decarbonisation and energy efficiency measures in industrial installations that do not continue to use solid fossil fuels, which will lead to a significant reduction in greenhouse gas emissions, a phasing out of fossil fuels, better energy efficiency, as well as a just transition in carbon-dependent regions.",IEA
Morocco and Portugal agreement on green hydrogen development,Morocco,2021,In force,International,https://www.iea.org/policies/13543-morocco-and-portugal-agreement-on-green-hydrogen-development,,,,,https://northafricapost.com/47322-morocco-portugal-sign-agreement-to-boost-cooperation-in-green-hydrogen-field.html,The two countries signed an agreement to boost bilateral cooperation on green hydrogen development and to align their decarbonisation strategies priorities. They announced also the establishment of a joint working group to examine the opportunities and the actions needed.,IEA
Morocco and Portugal agreement on green hydrogen development,Portugal,2021,In force,International,https://www.iea.org/policies/13544-morocco-and-portugal-agreement-on-green-hydrogen-development,,,,,https://www.maroc.ma/en/news/morocco-portugal-strengthen-cooperation-green-hydrogen,The two countries signed an agreement to boost bilateral cooperation on green hydrogen development and to align their decarbonisation strategies priorities. They also announced the establishment of a joint working group to examine the opportunities and the actions needed.,IEA
Motor Vehicle Tax Law,Republic of Turkiye,2021,In force,National,https://www.iea.org/policies/13103-motor-vehicle-tax-law,,,,,https://kpmgvergi.com/Content//FinancialBulletins/Elektrikliaraclarda%C3%96TVoraniyenidenbelirlendi_02022021_0502364478871.pdf,"With the Presidential Decree on No. 3471 published in the Official Gazette dated 02.02.2021, the special consumption tax rates of only electric motor passenger cars were re-determined. The legislation increases the special consumption tax rates by proportion to the engine power. For engine power of up to 85 kW from 3% to 10%, for engine power between 85-120 kW from 7% to 25% from 7%, for power over 120 kW from 15% to 60%.",IEA
Multi-billion pound investment for new long-term plan to tackle flooding,United Kingdom,2021,In force,National,https://www.iea.org/policies/13910-multi-billion-pound-investment-for-new-long-term-plan-to-tackle-flooding,,,,,https://www.gov.uk/government/news/multi-billion-pound-investment-as-government-unveils-new-long-term-plan-to-tackle-flooding,"GBP 5.2 billion will be invested in a 6-year programme for flood and coastal defences, including new innovative approaches to work with the power of nature to not only reduce flood risk but also deliver benefits for the environment. The measures are to create around 2,000 new flood and coastal defences to better protect 336,000 properties in England by 2027, and provide support to help households and businesses get back on their feet more quickly after flooding.",IEA
Municipal energy and emission database,Canada,2021,In force,National,https://www.iea.org/policies/13676-municipal-energy-and-emission-database,,,,,https://www.canada.ca/en/natural-resources-canada/news/2021/05/canada-announces-new-energy-and-emissions-database.html,"The federal government announced a CAD 80,000 investment to the Sustainability Solutions Group to support the development of the Municipal Energy and Emission Database (MEED), an integrated geospatial platform that tracks greenhouse gas (GHG) emissions for municipalities across Canada.The Sustainability Solutions Group is a climate planning consultancy that has created community energy and emissions plans for over 60 municipalities. Funding was provided by Natural Resources Canada’s GeoConnections Program, which facilitates sharing and use of geospatial information about Canada's lands, people and natural resources.",IEA
Municipal-level Measures to Lower Energy Bills for Households,Netherlands,2021,Ended,National,https://www.iea.org/policies/14373-municipal-level-measures-to-lower-energy-bills-for-households,Just transitions,Government spending for energy affordability,,,https://www.rijksoverheid.nl/actueel/nieuws/2021/10/15/150-miljoen-euro-voor-aanpak-energiearmoede-kwetsbare-huishoudens,"On 15th October 2021, the Dutch government announced its plan to make EUR 150 million available to municipalities as one of the package of measures to tackle with energy poverty during the current energy price crisis.To support vulnerable households with a high energy bill and poorly insulated homes, municipalities could determine the specific type of measures such as issuing vouchers for buying energy-saving products, distributing energy boxes including draft strips, radiator foil and LED lamps, or energy teams’ visit for households to provide energy advice.",IEA
My EV programme,Poland,2021,Ended,National,https://www.iea.org/policies/26921-my-ev-programme,Transport,Government spending for low-emissions and efficient transport,,,https://www.gov.pl/web/elektromobilnosc/o-programie,"“My EV"" programme was implemented in the years 2021-2025 with the aim of supporting individuals, companies and local government units in purchasing electric vehicles. Under the programme, it was possible to obtain funding of up to PLN 40,000 for individuals and up to PLN 70,000 for companies. Its total budget amounted to almost PLN 1 billion.The programme enabled co-financing of projects consisting in the purchase/leasing of new zero-emission vehicles of categories M1, M2, M3, N1, L1e, L2e, L3e, L4e, L5e, L6e, L7e, using only electricity accumulated by connecting to an external power source or electricity generated from hydrogen in fuel cells installed in it or only an engine whose operating cycle does not lead to the emission of greenhouse gases or other substances covered by the greenhouse gas emission management system.",IEA
